NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-26 00:00:00,59.86,0,2022-04-26
BoomCylinder_LD,2022-04-26 01:00:00,49.675,1,2022-04-26
BoomCylinder_LD,2022-04-26 02:00:00,37.160000000000004,2,2022-04-26
BoomCylinder_LD,2022-04-26 03:00:00,37.47,3,2022-04-26
BoomCylinder_LD,2022-04-26 04:00:00,47.93,4,2022-04-26
BoomCylinder_LD,2022-04-26 05:00:00,48.839999999999996,5,2022-04-26
BoomCylinder_LD,2022-04-26 06:00:00,52.17999999999999,6,2022-04-26
BoomCylinder_LD,2022-04-26 07:00:00,50.775,7,2022-04-26
BoomCylinder_LD,2022-04-26 08:00:00,51.425,8,2022-04-26
BoomCylinder_LD,2022-04-26 09:00:00,44.9,9,2022-04-26
BoomCylinder_LD,2022-04-26 10:00:00,37.035000000000004,10,2022-04-26
BoomCylinder_LD,2022-04-26 11:00:00,49.125,11,2022-04-26
BoomCylinder_LD,2022-04-26 12:00:00,57.81,12,2022-04-26
